Time,TAvgFluid
0,286.0943
3600,286.10373
7200,286.09946
10800,286.08673
14400,286.07516
18000,286.0673
21600,286.0604
25200,285.98975
28800,285.3137
32400,285.36877
36000,285.34576
39600,285.29102
43200,285.25958
46800,285.24948
50400,285.22888
54000,285.21368
57600,285.19775
61200,285.1862
64800,285.15045
68400,285.12808
72000,285.1108
75600,285.14563
79200,285.13217
82800,285.7854
86400,285.7387
90000,285.7504
93600,285.7813
97200,285.80884
100800,285.82983
104400,285.84616
108000,285.8594
111600,285.81512
115200,285.24405
118800,285.30917
122400,285.30316
126000,285.27383
129600,285.26685
133200,285.2698
136800,285.25494
140400,285.24658
144000,285.2399
147600,285.24124
151200,285.18933
154800,285.17917
158400,285.1571
162000,285.19125
165600,285.18356
169200,285.763
172800,285.72223
176400,285.73373
180000,285.76257
183600,285.78857
187200,285.8082
190800,285.82297
194400,285.83383
198000,285.7915
201600,285.23605
205200,285.29553
208800,285.287
212400,285.24872
216000,285.2263
219600,285.2189
223200,285.17868
226800,285.13257
230400,285.1112
234000,285.1091
237600,285.06747
241200,285.05542
244800,285.0249
248400,285.046
252000,285.02292
255600,285.70987
259200,285.66248
262800,285.67505
266400,285.70737
270000,285.73688
273600,285.75955
277200,285.77667
280800,285.7903
284400,285.7515
288000,285.13553
291600,285.19427
295200,285.1852
298800,285.1502
302400,285.1327
306000,285.13007
309600,285.11298
313200,285.1007
316800,285.08276
320400,285.06876
324000,285.01038
327600,285.00238
331200,284.9866
334800,285.02728
338400,285.01917
342000,285.67377
345600,285.62833
349200,285.6418
352800,285.6746
356400,285.7036
360000,285.72592
363600,285.7434
367200,285.75592
370800,285.73727
374400,285.11652
378000,285.17142
381600,285.16412
385200,285.1211
388800,285.09448
392400,285.07944
396000,285.05795
399600,285.04852
403200,285.03055
406800,285.04718
410400,285.01526
414000,285.01242
417600,285.00623
421200,284.99857
424800,284.99
428400,285.6492
432000,285.60428
435600,285.61765
439200,285.64877
442800,285.6768
446400,285.69934
450000,285.71768
453600,285.73242
457200,285.70688
460800,285.09464
464400,285.14856
468000,285.1412
471600,285.10156
475200,285.06924
478800,285.0624
482400,285.0492
486000,285.03464
489600,285.02286
493200,285.03552
496800,285.00204
500400,284.9956
504000,284.98608
507600,284.9788
511200,284.9702
514800,285.63852
518400,285.59256
522000,285.6052
525600,285.6356
529200,285.66302
532800,285.68497
536400,285.70184
540000,285.71512
543600,285.65555
547200,285.00748
550800,285.07297
554400,285.0692
558000,285.03973
561600,285.02505
565200,285.02216
568800,285.00906
572400,284.99857
576000,284.9853
579600,284.97458
583200,284.92575
586800,284.91574
590400,284.89792
594000,284.927
597600,284.9155
601200,285.61142
604800,285.56445
608400,285.5794
612000,285.61432
615600,285.64587
619200,285.67035
622800,285.68945
626400,285.70447
630000,285.6585
633600,285.0183
637200,285.08566
640800,285.07874
644400,285.0406
648000,285.0148
651600,285.00665
655200,284.98804
658800,284.97134
662400,284.95908
666000,284.95685
669600,284.9091
673200,284.8976
676800,284.8827
680400,284.91318
684000,284.90295
687600,285.5968
691200,285.5487
694800,285.56277
698400,285.59735
702000,285.62885
705600,285.65283
709200,285.67142
712800,285.6867
716400,285.63446
720000,284.9978
723600,285.06494
727200,285.0464
730800,284.988
734400,284.9566
738000,284.9542
741600,284.9378
745200,284.9282
748800,284.92014
752400,284.91626
756000,284.8641
759600,284.85754
763200,284.8422
766800,284.875
770400,284.86414
774000,285.5721
777600,285.52423
781200,285.53918
784800,285.57495
788400,285.6074
792000,285.6322
795600,285.65247
799200,285.6689
802800,285.6124
806400,285.0081
810000,285.0858
