Heating;Cooling
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
212.4626277;0
